Skip Input Hidden,Skip Hidden 1,Skip Hidden 2,F1 Macro
"(3, 4)",{},"{3: 0, 4: 1}","0,800811303023089"
"(3, 4)",{2: 0},{},"0,8281777228982198"
"(3, 4)",{2: 0},{3: 0},"0,8221292165391544"
"(3, 4)",{2: 0},{4: 1},"0,833526079456122"
"(3, 4)",{2: 0},"{3: 0, 4: 1}","0,8237245570164824"
"(3, 4)",{3: 1},{},"0,8415275200989487"
"(3, 4)",{3: 1},{3: 0},"0,8276515823720793"
"(3, 4)",{3: 1},{4: 1},"0,8153560724989296"
"(3, 4)",{3: 1},"{3: 0, 4: 1}","0,8316868459725603"
"(3, 4)",{4: 2},{},"0,8428015176135479"
"(3, 4)",{4: 2},{3: 0},"0,8198605770034341"
"(3, 4)",{4: 2},{4: 1},"0,8298593745798714"
"(3, 4)",{4: 2},"{3: 0, 4: 1}","0,8105751391465678"
"(3, 4)","{2: 0, 3: 1}",{},"0,7915476862681832"
"(3, 4)","{2: 0, 3: 1}",{3: 0},"0,803514739229025"
"(3, 4)","{2: 0, 3: 1}",{4: 1},"0,8068296437861654"
"(3, 4)","{2: 0, 3: 1}","{3: 0, 4: 1}","0,8186053077357426"
"(3, 4)","{2: 0, 4: 2}",{},"0,8291988963417536"
"(3, 4)","{2: 0, 4: 2}",{3: 0},"0,8209885352742495"
"(3, 4)","{2: 0, 4: 2}",{4: 1},"0,8373314655269543"
"(3, 4)","{2: 0, 4: 2}","{3: 0, 4: 1}","0,8094239094239095"
"(3, 4)","{3: 1, 4: 2}",{},"0,8509727114990273"
"(3, 4)","{3: 1, 4: 2}",{3: 0},"0,8551066727758458"
"(3, 4)","{3: 1, 4: 2}",{4: 1},"0,8314982119329946"
"(3, 4)","{3: 1, 4: 2}","{3: 0, 4: 1}","0,8356525244397099"
"(3, 4)","{2: 0, 3: 1, 4: 2}",{},"0,8055455931232329"
"(3, 4)","{2: 0, 3: 1, 4: 2}",{3: 0},"0,8225594005718229"
"(3, 4)","{2: 0, 3: 1, 4: 2}",{4: 1},"0,8174503550279948"
"(3, 4)","{2: 0, 3: 1, 4: 2}","{3: 0, 4: 1}","0,8035173848707684"
"(1, 2, 3)",{},{},"0,7765358451072736"
"(1, 2, 3)",{},{3: 0},"0,8126835301748193"
"(1, 2, 3)",{},{4: 1},"0,8288526369565926"
"(1, 2, 3)",{},"{3: 0, 4: 1}","0,8155131617864537"
