Skip Input Hidden,Skip Hidden 1,Skip Hidden 2,F1 Macro
(),"{2: 0, 4: 2, 5: 3}","{3: 0, 4: 1}","0,7950924602173447"
(),"{2: 0, 4: 2, 5: 3}","{3: 0, 5: 2}","0,7723227169655741"
(),"{2: 0, 4: 2, 5: 3}","{3: 0, 6: 3}","0,8222681208951232"
(),"{2: 0, 4: 2, 5: 3}","{4: 1, 5: 2}","0,8204452690166976"
(),"{2: 0, 4: 2, 5: 3}","{4: 1, 6: 3}","0,8426404640363451"
(),"{2: 0, 4: 2, 5: 3}","{5: 2, 6: 3}","0,7843770917978174"
(),"{2: 0, 4: 2, 5: 3}","{3: 0, 4: 1, 5: 2}","0,6794844749494001"
(),"{2: 0, 4: 2, 5: 3}","{3: 0, 4: 1, 6: 3}","0,8180290887057804"
(),"{2: 0, 4: 2, 5: 3}","{3: 0, 5: 2, 6: 3}","0,8251906823335394"
(),"{2: 0, 4: 2, 5: 3}","{4: 1, 5: 2, 6: 3}","0,8122333214222143"
(),"{2: 0, 4: 2, 5: 3}","{3: 0, 4: 1, 5: 2, 6: 3}","0,8391218871571928"
(),"{2: 0, 4: 2, 6: 4}",{},"0,8114946647555342"
(),"{2: 0, 4: 2, 6: 4}",{3: 0},"0,8173111349803079"
(),"{2: 0, 4: 2, 6: 4}",{4: 1},"0,8590910281722678"
(),"{2: 0, 4: 2, 6: 4}",{5: 2},"0,7746889701776919"
(),"{2: 0, 4: 2, 6: 4}",{6: 3},"0,8441668599909248"
(),"{2: 0, 4: 2, 6: 4}","{3: 0, 4: 1}","0,7807733619763695"
(),"{2: 0, 4: 2, 6: 4}","{3: 0, 5: 2}","0,7504412153454113"
(),"{2: 0, 4: 2, 6: 4}","{3: 0, 6: 3}","0,8260751623303783"
(),"{2: 0, 4: 2, 6: 4}","{4: 1, 5: 2}","0,77974123874745"
(),"{2: 0, 4: 2, 6: 4}","{4: 1, 6: 3}","0,8347076046977976"
(),"{2: 0, 4: 2, 6: 4}","{5: 2, 6: 3}","0,7874503850831476"
(),"{2: 0, 4: 2, 6: 4}","{3: 0, 4: 1, 5: 2}","0,7497969473295774"
(),"{2: 0, 4: 2, 6: 4}","{3: 0, 4: 1, 6: 3}","0,8061664008868977"
(),"{2: 0, 4: 2, 6: 4}","{3: 0, 5: 2, 6: 3}","0,862636569779427"
(),"{2: 0, 4: 2, 6: 4}","{4: 1, 5: 2, 6: 3}","0,8299736440959062"
(),"{2: 0, 4: 2, 6: 4}","{3: 0, 4: 1, 5: 2, 6: 3}","0,8323010323010324"
(),"{2: 0, 5: 3, 6: 4}",{},"0,752394990865079"
(),"{2: 0, 5: 3, 6: 4}",{3: 0},"0,7707854067978517"
(),"{2: 0, 5: 3, 6: 4}",{4: 1},"0,8106312234131783"
(),"{2: 0, 5: 3, 6: 4}",{5: 2},"0,8092826713516369"
(),"{2: 0, 5: 3, 6: 4}",{6: 3},"0,8027060054791147"
(),"{2: 0, 5: 3, 6: 4}","{3: 0, 4: 1}","0,8216463236012109"
(),"{2: 0, 5: 3, 6: 4}","{3: 0, 5: 2}","0,7970151328493993"
(),"{2: 0, 5: 3, 6: 4}","{3: 0, 6: 3}","0,8370186147811456"
(),"{2: 0, 5: 3, 6: 4}","{4: 1, 5: 2}","0,8160257484738541"
(),"{2: 0, 5: 3, 6: 4}","{4: 1, 6: 3}","0,7932993576471838"
(),"{2: 0, 5: 3, 6: 4}","{5: 2, 6: 3}","0,8210149880630431"
(),"{2: 0, 5: 3, 6: 4}","{3: 0, 4: 1, 5: 2}","0,8194405374219483"
(),"{2: 0, 5: 3, 6: 4}","{3: 0, 4: 1, 6: 3}","0,8011573889769379"
(),"{2: 0, 5: 3, 6: 4}","{3: 0, 5: 2, 6: 3}","0,7438494589755092"
(),"{2: 0, 5: 3, 6: 4}","{4: 1, 5: 2, 6: 3}","0,7796882020770903"
(),"{2: 0, 5: 3, 6: 4}","{3: 0, 4: 1, 5: 2, 6: 3}","0,83660698532879"
